eval_file,eval_split,train_file,CLC_codes,distance_m
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_8908_2811,val,S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_8785_2407,211,4217.599662689102
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_9016_1001,test,S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_9462_931,211,4519.907396178186
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_6380_6949,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_6739_6885,211,3651.974312060651
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_7919_2979,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_8419_2980,211,4994.059232282644
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_4051_4527,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_4395_4872,211,4842.031896300037
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_5868_4507,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_5842_4917,211,4112.822363277434
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_6275_4877,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_5842_4917,211,4353.878656932741
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_3439_3942,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_3854_4124,211,4500.070004662682
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_4388_3613,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_4685_3240,"321, 211, 311",4805.44384109879
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5624_2818,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5448_3196,521,4201.179934288837
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5624_2818,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5263_2839,521,3609.3101753038404
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5624_2818,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5659_2417,521,4042.51853402441
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5624_2818,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5814_3199,521,4240.852125495354
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5783_3583,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5714_3927,521,3528.2539079191993
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5783_3583,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5814_3199,521,3868.6056916852676
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_583_7620,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_982_7616,211,3982.9792951358254
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6167_3578,val,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6153_3948,521,3715.951887162043
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6761_2825,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6398_2810,"411, 512",3620.492386520115
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_968_7983,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_1376_7989,211,4071.4865215428895
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_968_7983,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_982_7616,211,3684.2016710477924
S2B_MSIL2A_20180916T092019_N0500_R093_T34TFP_6664_1115,test,S2B_MSIL2A_20180916T092019_N0500_R093_T34TFP_7013_1182,211,3546.7917338275
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_4322_1422,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_4345_1023,"211, 231",4011.377956338436
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_8028_9176,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_8435_9160,211,4066.434793634788
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_8596_3164,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_8804_3599,211,4808.988371493127
S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_2061_2266,test,S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_2079_2673,"211, 231, 112",4080.2185925659865
S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_6903_6140,val,S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_6897_5773,"311, 211, 112",3676.5907337622266
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMJ_512_3181,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_10108_3303,211,4196.82400810496
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_2805_6663,val,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_2739_7100,211,4427.851319758412
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_4398_7891,test,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_4372_8317,211,4273.804036972976
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_4398_7891,test,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_4323_7520,211,3783.8196201815745
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_9418_8327,test,S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_8962_8343,311,4561.582345577573
S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_8598_2159,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_8764_2528,"311, 231",4036.8956696038936
S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_7339_1057,val,S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_6943_1030,"312, 231",3959.1026275487097
S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_7885_3038,test,S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_7914_2681,"231, 312, 324",3592.8000058802954
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_5026_3359,test,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_5475_3372,211,4486.5341656369965
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_7716_1277,test,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_7772_1644,211,3706.9386659356755
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1058_9602,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1263_9167,211,4841.061215865025
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1737_9191,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1263_9167,211,4737.815578807609
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_3355_7025,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_2919_7085,211,4403.854890436929
