eval_demoted,original_split,train_promoted,CLC_codes
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_5196_4661,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_1574_3678,"321, 312, 324"
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_1819_4400,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_2211_5737,"312, 324, 322"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_1235_4893,test,S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_7594_10584,"211, 231, 112, 512"
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_10631_5358,test,S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_3093_2127,"312, 512, 324"
S2A_MSIL2A_20180928T090731_N0500_R050_T35TMN_8155_1916,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGS_8969_5217,"211, 231, 112, 242, 311"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_5536_10521,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_8248_4219,"311, 211, 511"
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDS_8391_8257,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_8919_3771,"211, 122"
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_7557_4063,test,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_8106_4906,"312, 313, 322"
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_6361_8248,test,S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_1039_1588,"311, 321, 313, 312"
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_4295_4694,val,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6232_1650,"521, 411, 512"
S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_8120_1072,test,S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_8904_1428,"311, 324, 231"
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_7854_250,test,S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_5889_1443,"311, 321, 243"
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_9321_6846,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_8554_7044,"211, 231, 511"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_5706_1781,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_5267_972,"313, 312, 324"
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_7560_4010,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_10198_4104,523
S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_8141_8944,val,S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_7801_7075,"211, 231, 512"
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGS_7776_7880,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGT_1380_2967,"311, 231, 211, 243"
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_3917_1596,test,S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_7284_7706,"211, 231, 243, 112"
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_1074_9189,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_7634_10408,"211, 231, 121"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_4843_1772,test,S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_8157_9292,"312, 313, 324"
S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_8064_2293,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_1780_7069,"312, 321, 324"
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGQ_2993_5650,val,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_1422_2433,"311, 211, 231"
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_4979_5679,val,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6530_3577,521
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_5505_4629,val,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_9758_3611,521
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_6276_8908,test,S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_10505_4079,"311, 313"
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGS_5760_9678,test,S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_7911_9947,"311, 231, 324"
S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_1753_5803,val,S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_3451_5687,"211, 243"
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6417_2438,val,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPL_7923_9957,411
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_8342_2094,val,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPL_10592_7836,411
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_6943_5751,test,S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_5519_2764,"211, 221"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_7044_5549,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_9866_1390,"231, 211"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_4217_1794,test,S2A_MSIL2A_20180928T090731_N0500_R050_T35TMN_7935_674,"231, 211"
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_1948_2842,val,S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_9396_7914,"311, 211"
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_3058_3244,test,S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_7629_5326,"311, 211"
S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_983_4459,test,S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_6986_3421,"312, 324"
S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_5726_7328,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_1504_6243,"312, 324"
S2B_MSIL2A_20181006T092029_N0500_R093_T35TLN_9105_6921,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGR_1445_5283,"312, 324"
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_7973_1018,val,S2A_MSIL2A_20180928T090731_N0500_R050_T35TLL_8015_1686,"311, 324"
S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_7121_3507,val,S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_9206_1607,"311, 324"
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPL_9079_7417,val,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_7028_2045,"411, 512"
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPL_9126_9839,val,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_9252_1308,"411, 512"
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPL_9955_9917,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6761_2825,"411, 512"
S2A_MSIL2A_20180928T090731_N0500_R050_T35TLL_7510_3956,test,S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_2916_291,"311, 231, 242"
S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_6398_2810,test,S2B_MSIL2A_20180920T085619_N0500_R007_T35TPK_7602_2822,"411, 512"
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_748_2473,val,S2B_MSIL2A_20181006T092029_N0500_R093_T34TGT_5381_1216,"311, 231, 242"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_2440_1296,val,S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_1501_8913,"211, 112, 242"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_9652_4520,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_2844_9605,"211, 242"
S2B_MSIL2A_20180814T090549_N0500_R050_T35TMJ_8955_631,val,S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_9408_1200,"211, 242"
