eval_patch,eval_split,action,partner_patch,CLC_codes,distance_m,reason
S2A_MSIL2A_20180809T090551_N0500_R050_T35TNN_1070_1745,test,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_3259_8453,"211, 231",,
S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_10036_6336,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_2839_1395,"211, 112",,
S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_5440_7078,test,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_6582_5364,"211, 311",,
S2A_MSIL2A_20180928T090731_N0500_R050_T35TLL_7510_3956,test,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_2916_291,"311, 231, 242",,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_10548_3869,test,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_9052_1221,311,,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_3917_1596,test,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_7284_7706,"211, 231, 243, 112",,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_9043_3889,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TML_6469_10114,311,,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TEQ_9048_5128,test,resolved (swap),S2A_MSIL2A_20180928T090731_N0500_R050_T35TLL_9246_10751,311,,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_10059_5846,test,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34TFT_9791_792,311,,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_4323_7520,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNK_1752_2943,211,,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_5337_7944,test,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TES_9418_8327,311,,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_10631_5358,test,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_3093_2127,"312, 512, 324",,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_6276_8908,test,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_10505_4079,"311, 313",,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_6361_8248,test,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TFQ_1039_1588,"311, 321, 313, 312",,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_7854_250,test,resolved (swap),S2A_MSIL2A_20180928T090731_N0500_R050_T35TLK_5889_1443,"311, 321, 243",,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_3210_9989,test,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_9709_5734,"311, 321",,
S2A_MSIL2A_20181014T093031_N0500_R136_T34TFS_3265_7579,test,resolved (swap),S2A_MSIL2A_20181014T093031_N0500_R136_T34TFR_8682_8269,311,,
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_6911_617,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_5868_4507,211,,
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_9462_931,test,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T34TGP_5026_3359,211,,
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDR_9664_5197,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_8452_3372,"211, 231",,
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDS_8391_8257,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TMK_8919_3771,"211, 122",,
S2B_MSIL2A_20180813T094029_N0500_R036_T34TDS_9631_8926,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_8028_9176,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_10108_3303,test,resolved (swap),S2B_MSIL2A_20181006T092029_N0500_R093_T35UMP_1559_9625,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_4395_4872,test,resolved (swap),S2B_MSIL2A_20181009T093029_N0500_R136_T34TER_2024_6910,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_5842_4917,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_1386_994,211,,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_6943_5751,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_5519_2764,"211, 221",,
S2B_MSIL2A_20180814T090549_N0500_R050_T35TLJ_8438_4861,test,resolved (swap),S2B_MSIL2A_20180814T090549_N0500_R050_T35TNL_5702_5498,211,,
